dataset,task,precision,recall,map50,map50_95,evaluation_seconds,accuracy,f1
bottle,detection,0.9670109594891115,0.9709702968514925,0.9820735036274845,0.8963879891309094,34.56459829999949,,
pcb,detection,0.9795733243367813,0.9839463915129786,0.9879771306637831,0.5548077556115211,33.02965869999025,,
road,classification,1.0,0.998,,,,0.999,0.998998998998999
